受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Sichuan-XinTian-20241020 S0002,智能交通管理系统,交通运输,软件系统,软件系统,2022-11-20,国家交通部,通用汽车,已完成,2022-11-25,合格,国家交通部,包括传感器网络和优化算法,国家交通部,Sichuan-XinTian-20241020 S0002,交通运输,自动驾驶、流量监测,"窄人工智能系统,广义人工智能系统,超级人类智能系统,自我进化人工智能系统,情感智能系统,高度自主智能系统,全局智能系统,超智元系统",国家交通部,V2.0,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-11,
Guangdong-HuaWei-20241019 S0003,家居智能助手,家居生活,智能家居,智能家居,2023-03-15,小米,海尔,招募中,2023-03-20,待审,小米科技,包括设备控制和环境监测,小米,Guangdong-HuaWei-20241019 S0003,家居生活,安防、环境监测,"窄人工智能系统,通用人工智能系统,高级人工智能系统,自适应人工智能系统,超智能体系统,集成智能系统",小米科技,V1.0,TechTarget,https://www.techtarget.com/searchenterpriseai/tip/9-top-applications-of-artificial-intelligence-in-business,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,AI风险管理系统,金融服务,风险评估,风险评估,2023-05-05,高盛,北京大学,招募中,2023-05-10,待审,高盛金融,数据挖掘、风险预测和决策支持,高盛,Zhejiang-BaiDu-20241021 S0004,金融服务,投资风险管理,窄域人工智能系统,高盛金融,V1.0,Tsinghua University,http://www.tup.tsinghua.edu.cn/upload/books/yz/088094-01.pdf,2024-10-11,
Henan-JunJian-20241022 S0005,智能学习平台,教育行业,教育工具,教育工具,2023-06-01,Coursera,清华大学,招募中,2023-06-05,合格,Coursera教育,个性化学习、实时反馈和评估工具,Coursera,Henan-JunJian-20241022 S0005,教育行业,在线学习、考试评估,通用人工智能系统,Coursera教育,V1.0,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,精准农业助手,农业,农业管理,农业管理,2023-04-10,农业部,中科院,已完成,2023-04-15,合格,农业部,包括土壤监测、作物分析和决策支持,农业部,Shandong-ZuoZhe-20241023 S0006,农业,作物生长监测,超级人工智能系统,农业部,V1.0,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-11,
Hubei-YunXing-20241024 S0007,声纹识别系统,安全防护,安全监控,安全监控,2023-06-20,百度,中科院声学研究所,招募中,2023-06-25,待审,百度安全,声纹识别、用户身份验证,百度,Hubei-YunXing-20241024 S0007,其他,身份验证、用户访问控制,量子人工智能系统,百度安全,V1.0,AI Journal,https://www.aijournal.com,2024-10-11,
Anhui-XingFu-20241025 S0008,智能财务分析系统,金融服务,财务软件,财务软件,2023-07-12,阿里巴巴,上海财经大学,已完成,2023-07-15,合格,阿里巴巴财务,财务预测、成本分析功能,阿里巴巴,Anhui-XingFu-20241025 S0008,其他,企业财务管理,自适应人工智能系统,阿里巴巴财务,V2.0,Financial Times,https://www.ft.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,社交媒体监测系统,数据分析,市场分析工具,市场分析工具,2023-08-01,腾讯,清华大学,招募中,2023-08-05,待审,腾讯科技,情感分析、趋势预测,腾讯,Jiangxi-QiXiang-20241026 S0009,其他,市场趋势分析,自我进化人工智能系统,腾讯科技,V1.0,Market Research Weekly,https://www.marketresearchweekly.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,人脸识别门禁系统,安全防护,安全监控,安全监控,2023-08-15,华为,浙江大学,已完成,2023-08-20,合格,华为安全,人脸识别、门禁控制系统,华为,Liaoning-YuanChuang-20241027 S0010,其他,安全监控、访客管理,协作型人工智能系统,华为安全,V1.0,Global Security Journal,https://www.globalsecurityjournal.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能法律顾问,法律服务,法律咨询,法律咨询,2023-09-01,京东,北京大学法学院,招募中,2023-09-05,待审,京东法律,法律文件分析、案例推荐,京东,Beijing-ZhiNeng-20241028 S0011,其他,法律咨询、案件分析,反应型人工智能系统,京东法律,V1.0,LegalTech Magazine,https://www.legaltechmagazine.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能招聘平台,人力资源,招聘工具,招聘工具,2023-09-15,LinkedIn,复旦大学,招募中,2023-09-20,合格,LinkedIn招聘,简历筛选、候选人推荐,LinkedIn,Shanghai-WeiXin-20241029 S0012,其他,人才招聘、岗位匹配,基础人工智能系统,LinkedIn招聘,V1.0,HR Tech Report,https://www.hrtechreport.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能环境监测系统,环境保护,环境监测,环境监测,2023-09-30,中国环境部,南方科技大学,已完成,2023-10-05,合格,中国环境部,空气质量监测、数据分析,中国环境部,Tianjin-JinXing-20241030 S0013,其他,环境保护合规,自适应人工智能系统,中国环境部,V1.0,Environmental Science Journal,https://www.environmentalsciencejournal.com,2024-10-11,
