人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智能交通系统,自动驾驶、交通管理,政府与企业合作,交通运输,MIT、清华大学,在研,优化交通流量，提高安全性与效率,利用AI技术进行交通管理,智能交通,政府与企业合作,交通运输,MIT、清华大学,智能交通系统利用AI技术优化交通流量，提高安全性与效率。,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,,,,
医疗诊断系统,影像识别、辅助诊断,医院与科技公司合作,医疗健康,IBM、华大基因,在研,提高诊断准确性和效率,AI分析医学影像,医疗健康,医院与科技公司合作,医疗健康,IBM、华大基因,医疗诊断系统通过AI分析医学影像，辅助医生进行快速准确的诊断。,百度智能云,https://cloud.baidu.com/article/3345417,2024-10-11,,,,
智能客服系统,自然语言处理、情感分析,企业内部团队合作,客户服务,百度、阿里巴巴,在研,提高客户满意度,理解客户需求，提供服务,客户服务,企业内部团队合作,客户服务,百度、阿里巴巴,智能客服系统通过AI理解客户需求，提供个性化服务，提高客户满意度。,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-11,,,,
机器人自动化,工业自动化、服务机器人,企业与研究机构合作,制造业,斯坦福大学、清华大学,在研,提高生产效率，降低人工成本,AI实现生产线自动化,制造业,企业与研究机构合作,制造业,斯坦福大学、清华大学,机器人自动化系统通过AI实现生产线自动化，提高生产效率，降低人工成本。,Tsinghua University,http://www.tup.tsinghua.edu.cn/upload/books/yz/088094-01.pdf,2024-10-11,,,,
智能家居系统,家庭自动化、安防监控,科技公司与家居品牌合作,家居生活,小米、海尔,在研,提供安全监控和便利的生活体验,家庭设备互联,家居生活,科技公司与家居品牌合作,家居生活,小米、海尔,智能家居系统通过AI实现家庭设备互联，提供安全监控和便利的生活体验。,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,,,,
Siri,狭义人工智能,语音助手,普通用户,小型,已商用,提升用户体验,提供语音识别与自然语言处理功能,移动设备,苹果公司,信息技术,无,Siri 是苹果公司的语音助手，能够执行多种任务，如设置提醒、发送信息等。,CSDN博客,https://blog.csdn.net/pictoexcel/article/details/137498430,2024-10-15,,,,
IBM Watson,狭义人工智能,数据分析,企业用户,大型,已商用,提升决策效率,提供数据分析与自然语言处理能力,医疗、金融,IBM,信息技术,无,IBM Watson 是一个强大的数据分析平台，能够处理复杂问题并提供解决方案。,简道云,https://www.jiandaoyun.com/fe/rgznjszybk/,2024-10-15,,,,
AlphaGo,强人工智能,游戏策略,专业玩家,中型,已商用,超越人类棋手,提供围棋对弈与学习能力,游戏与娱乐,DeepMind,信息技术,无,AlphaGo 是由DeepMind开发的围棋AI，曾击败世界围棋冠军。,信息化观察网,https://www.infoobs.com/article/20230830/60822.html,2024-10-15,,,,
ChatGPT,强人工智能,对话生成,普通用户,中型,已商用,提升沟通效率,提供自然语言生成与对话能力,教育、客服,OpenAI,信息技术,无,ChatGPT 是一个基于GPT模型的对话生成系统，能够进行多轮对话。,雪兽软件,https://www.snowbeasts.com/blog/details/161,2024-10-15,,,,
自动驾驶汽车,应用型人工智能,自动驾驶,驾驶员,大型,在研,提高交通安全,集成传感器与AI决策系统,交通运输,特斯拉,汽车工业,无,自动驾驶汽车使用多种传感器和AI算法，实现自主驾驶功能。,百度云,https://cloud.baidu.com/article/3144214,2024-10-15,,,,
智能农业系统,作物监测、数据分析,科技公司与农业合作社合作,农业生产,Alibaba Cloud、京东科技,在研,提高作物产量与资源使用效率,利用AI进行作物监测与数据管理,智能农业,科技公司与农业合作社合作,农业,Alibaba Cloud、京东科技,智能农业系统通过AI监测作物生长，提升农业生产效率。,农科院,https://www.icaas.org.cn,2024-10-17,,,,
智能金融系统,风险评估、市场分析,银行与金融科技公司合作,金融投资,摩根大通、平安科技,在研,增强投资决策的准确性,AI用于分析市场数据与风险评估,金融,银行与金融科技公司合作,金融服务,摩根大通、平安科技,智能金融系统通过AI数据分析提升金融投资决策能力。,金融时报,https://www.ft.com,2024-10-17,,,,
虚拟助手系统,自然语言处理、机器学习,企业培训与支持,企业员工,Salesforce、微软,在研,提高员工培训效果与满意度,提供智能问答与支持服务,企业管理,企业内部合作,信息技术,Salesforce、微软,虚拟助手系统通过AI为企业员工提供即时培训与支持。,Infor Blog,https://www.infor.com,2024-10-17,,,,
城市公共安全监控,视频分析、图像识别,政府部门与科技公司合作,城市住户,华为、腾讯,在研,提升城市安全与应急响应能力,监控视频分析与实时反应,公共安全,政府与科技公司合作,安全科技,华为、腾讯,城市公共安全系统利用AI对监控视频进行实时分析，以提升城市安全。,新华网,https://www.xinhuanet.com,2024-10-17,,,,
智能教育系统,个性化学习、数据分析,教育机构与技术公司合作,学生与教师,国内外教育机构,在研,提升学生学习效果与教师教学质量,通过个性化学习计划提供教育服务,教育技术,教育机构与技术公司合作,教育服务,国内外教育机构,智能教育系统提供个性化教育服务，跟踪学生学习进度。,教育部,https://www.moe.gov.cn,2024-10-17,,,,
智能安防系统,面部识别、行为分析,企业与安防公司合作,企业安全,海康威视、大华股份,在研,提升企业安保级别,通过行为分析提升安全监控能力,安防科技,企业与安防公司合作,安全技术,海康威视、大华股份,智能安防系统通过AI识别与分析行为，为企业提供先进安保解决方案。,央视新闻,https://www.cctv.com,2024-10-17,,,,
自然语言处理平台,自然语言处理、知识图谱,研究机构与企业合作,企业用户,中国科学院、阿里云,在研,提高文本处理能力与信息提取效率,集成多种自然语言处理工具与服务,信息技术,研究机构与企业合作,信息技术,中国科学院、阿里云,自然语言处理平台提供文本分析与信息提取服务，助力企业提升工作效率。,中国计算机学会,https://www.ccf.org.cn,2024-10-17,,,,
智能城市管理系统,数据整合、预测分析,政府与技术公司合作,城市管理者,城市管理局、腾讯云,在研,提高城市运行效率,集成城市各项数据实现智能管理,城市规划,政府与技术公司合作,公共服务,城市管理局、腾讯云,智能城市管理系统通过数据分析与预测，提升城市管理水平。,人社部,https://www.mohrss.gov.cn,2024-10-17,,,,
智能出行助手,移动应用、实时更新,出行服务公司合作,住宅消费者,滴滴出行、美团,已商用,优化用户出行体验,提供实时出行数据跟踪与建议,出行服务,出行服务公司合作,出行服务,滴滴出行、美团,智能出行助手通过AI实时提供出行信息与建议，优化用户出行体验。,出行信息网,https://www.zhuanke.com,2024-10-17,,,,
智能农业系统,精准农业、无人机监控,农企与科研机构合作,农业生产,中国农业大学、华南农业大学,在研,提高作物产量和减少资源浪费,利用AI和无人机技术进行精确种植,农业科技,农企与科研机构合作,农业,中国农业大学、华南农业大学,智能农业系统使用AI和无人机监控，提高作物产量和资源使用效率。,农业科技网,http://www.agri-tech.cn,2024-10-17,,,,
AI法律顾问,法律文本分析、合规审查,法律事务所与科技公司合作,法律界专业人士,大型,在研,提高法律事务处理效率,分析法律文件以简化流程,法律科技,法律事务所与科技公司合作,法律,清华大学、长安法学院,AI法律顾问不断分析法律文本，以提高合规性和效率。,法律科技观察,http://www.legaltechwatch.com,2024-10-17,,,,
智能金融分析系统,数据挖掘、风险管理,金融机构与技术公司合作,投资者、金融分析师,中型,在研,降低风险，提高投资回报率,利用AI技术进行市场趋势分析,金融科技,金融机构与技术公司合作,金融,诺贝尔科技、肯特大学,智能金融分析系统通过数据挖掘技术，为投资者提供精准市场分析。,金融服务日报,http://www.financialservicesnews.com,2024-10-17,,,,
智能教育平台,个性化学习、数据分析,教育机构与技术公司合作,学生和教师,大型,已商用,提升学习效率，满足个性化需求,结合AI提供个性化学习方案,教育科技,教育机构与技术公司合作,教育,华东师范大学、Pearson,智能教育平台根据学习者需求，提供个性化学习解决方案。,教育科技网,http://www.edutechnews.com,2024-10-17,,,,
城市环境监控系统,环境监测、数据可视化,政府与研究机构合作,城市管理者,中型,在研,监控环保数据，优化城市环境,实时监测城市环境数据,环境管理,政府与研究机构合作,环境管理,清华大学、环境保护部,城市环境监控系统通过实时数据监测，协助政府管理城市环境,城市环境监控网,http://www.citymonitoring.com,2024-10-17,,,,
AI内容生成平台,自然语言生成、内容推荐,数字媒体公司与技术公司合作,内容创作者,大型,已商用,提升创作效率，优化内容发布,使用AI生成和推荐内容,数字媒体,数字媒体公司与技术公司合作,数字媒体,腾讯、阿里巴巴,AI内容生成平台为创作者提供高效内容生成与推荐服务。,数媒界,http://www.digitalmediaworld.com,2024-10-17,,,,
人工智能语音翻译系统,语言翻译、语音识别,国际商务与旅游业合作,出国游客和商人,小型,已商用,突破语言障碍，促进国际交流,提供多语言语音翻译,语言服务,语言科技公司与旅游机构合作,语言服务,科大讯飞、百度,人工智能语音翻译系统支持实时语音翻译，促进国际交流。,语言服务观察,http://www.translationwatch.com,2024-10-17,,,,
智能城市管理平台,城市规划、数据分析,城市政府与科技公司合作,城市管理部门,大型,在研,提升城市管理效率与便民服务,整合城市管理数据与AI分析,城市管理,城市政府与科技公司合作,公共服务,上海交通大学、阿里巴巴,智能城市管理平台通过数据整合与AI分析，优化城市资源配置。,城市发展网,http://www.citydevelopment.com,2024-10-17,,,,
智能网络安全系统,网络防护、数据分析,企业与安全公司合作,网络安全专业人员,中型,已商用,提高网络安全防护能力,使用AI技术监测与修复网络威胁,网络安全,企业与安全公司合作,信息技术,火绒、360公司,智能网络安全系统利用AI监测和修复网络威胁，提升安全性。,网络安全时报,http://www.cybersecuritynews.com,2024-10-17,,,,
智能农业系统,数据分析、自动化管理,农场与科技公司合作,农业生产,中型,在研,提高作物产量与管理效率,利用AI技术监测土壤与气候变化,智能农业,农场与科技公司合作,农业,北京农学院、耶鲁大学,智能农业系统通过AI监测土壤状况和气候变化，以提高作物产量。,中国农业大学,https://www.cau.edu.cn/,2024-10-17,,,,
情感分析平台,自然语言处理、机器学习,企业内部分析,市场营销,大型,在研,提升市场分析与客户洞察能力,分析客户反馈与市场趋势,市场营销,企业内部研发,信息技术,西北大学、阿里巴巴,情感分析平台能够通过处理客户反馈数据，帮助企业进行市场洞察。,市场营销杂志,https://www.marketingmagazine.com.au/,2024-10-17,,,,
AI教育助手,自然语言处理、机器学习,教育机构与科技公司合作,学生与教师,中型,在研,提高教学效果与学习效率,提供个性化学习建议与支持,教育科技,学校与科技合作,教育,斯坦福大学、Coursera,AI教育助手旨在为学生提供个性化的学习支持与反馈。,教育科技论坛,https://edtechforum.org/,2024-10-17,,,,
智能金融顾问,机器学习、数据分析,金融机构内部运用,个人投资者,大型,已商用,提供投资建议与风险分析,分析市场数据，生成投资组合建议,金融服务,金融机构与科技公司合作,金融,摩根大通、华尔街技术公司,智能金融顾问提供投资建议，帮助投资者做出明智的决策。,金融时报,https://www.ft.com/,2024-10-17,,,,
无人机监控系统,图像识别、实时数据处理,市政管理与安保,城市管理,大型,在研,提高城市安全监控能力,部署无人机进行区域监控与数据收集,公共安全,市政府与技术公司合作,公共管理,清华大学、哈佛大学,无人机监控系统利用AI识别潜在安全威胁，增强城市的安全防护。,城市安全杂志,https://www.urbansafety.com/,2024-10-17,,,,
智能合同管理系统,自然语言处理、区块链技术,法律与企业管理,企业法务部门,中型,在研,自动化合同审查与管理,利用AI分析合同条款,法律科技,法律事务所与科技公司合作,法律,牛津大学、普华永道,智能合同管理系统能够快速审查并分析合同内容，提升法务效率。,法律与技术杂志,https://www.legalscience.com/,2024-10-17,,,,
自动化仓储系统,机器人技术、数据分析,制造与物流,电商仓储,大型,在研,提升仓储管理与物流效率,部署自动化机器人进行物品分类与存取,物流与运输,物流公司与技术企业合作,物流,麻省理工学院、京东,自动化仓储系统通过机器人技术优化仓储流程，提升运营效率。,物流管理期刊,https://www.物流管理.com/,2024-10-17,,,,
智能气候预测系统,机器学习、数据分析,气象局与研究机构合作,公众与商业领域,中型,在研,提高气候预测的准确性,利用AI分析气象数据与趋势,环境科学,气象局与高等院校合作,环境,气象科学研究所、加州大学,智能气候预测系统通过AI增强气象数据分析，提供准确的气候预测。,气象局官方网站,https://www.weather.gov/,2024-10-17,,,,
智能电网管理系统,数据分析、自动化管理,能源管理公司,电力行业,大型,已商用,提升电力系统的效率与可靠性,利用AI进行电力需求预测与管理,能源,能源公司与科技合作,能源,电力系统研究院、普华永道,智能电网管理系统利用AI技术优化电力供应与需求，实现高效的能源管理。,能源创新杂志,https://www.energyinnovation.com/,2024-10-17,,,,
智能环保系统,环境监测、数据分析,政府与科研机构合作,城市规划,国家环境保护部、清华大学,在研,提高环境监测精度，支持政策制定,利用AI进行实时环境数据分析,环境保护,政府与科研机构合作,环保产业,国家环境保护部、清华大学,智能环保系统通过AI技术支持实时监测和数据分析，帮助政府制定环境保护政策。,智库网,https://www.thinktank.cn,2024-10-17,,,,
智能农业系统,农业机器人、数据分析,农业合作社与技术公司合作,农民,约翰·迪尔、华农科技,在研,提高农业生产效率，减少资源浪费,AI优化种植与灌溉,农业科技,农业合作社与技术公司合作,农业,约翰·迪尔、华农科技,智能农业系统运用AI技术实现精准农业，提高生产效率和资源利用率。,农业科技网,https://www.agriculturetech.com,2024-10-17,,,,
智能金融分析系统,金融数据处理、风险评估,银行与科技公司合作,金融机构,高盛、阿里巴巴,已商用,提高投资决策的准确性,AI预测市场趋势与风险,金融科技,金融机构与科技公司合作,金融,高盛、阿里巴巴,智能金融分析系统利用AI技术提供投资风险评估和市场预测，支持金融决策。,金融时报,https://www.ft.com,2024-10-17,,,,
智能教育助手,个性化学习、学习分析,学校与技术公司合作,学生,全球教育科技公司如Coursera、Udacity,在研,提供个性化学习体验，改善学生成绩,基于AI的学习资源推荐,教育,学校与教育科技公司合作,教育,Coursera、Udacity,智能教育助手通过AI定制学习内容，帮助学生实现个性化学习目标。,教育在线,https://www.educationonline.com,2024-10-17,,,,
智能城市安全系统,监控、数据分析,城市管理与安全公司合作,城市居民,城市安全监控公司如海康威视,在研,提高城市安全防护水平,AI监控与突发事件响应,城市安全,城市管理与安全公司合作,安全服务,海康威视、当地警方,智能城市安全系统通过AI监控及时响应突发事件，提升城市安全防护能力。,城市发展网,https://www.citydevelopment.cn,2024-10-17,,,,
智能人力资源管理系统,人力资源管理、数据分析,企业内部实施,公司员工,大中型企业,已商用,提升招聘效率与员工满意度,利用AI优化招聘流程,人力资源,企业内部实施,人力资源,各大人力资源管理公司,智能人力资源管理系统通过AI技术提升招聘效率和优化员工管理流程。,人力资源管理网,https://www.hrmanagement.com,2024-10-17,,,,
商用无人机系统,无人机技术、物流管理,企业与物流公司合作,物流行业,大疆、快递公司,已商用,提升物流运输效率,利用无人机进行商品配送,物流与运输,企业与物流公司合作,物流,大疆、顺丰,商用无人机系统通过尖端AI技术提升物流运输效率，降低人力成本。,快递物流网,https://www.expresslogistics.com,2024-10-17,,,,
智能推荐系统,个性化推荐、用户分析,电商平台与科技公司合作,在线消费者,阿里巴巴、京东,已商用,提升用户购物体验与购买转化率,基于用户行为分析进行商品推荐,电子商务,电商平台与科技公司合作,电子商务,阿里巴巴、京东,智能推荐系统通过AI分析用户行为，提供个性化购物建议，增加销售额。,电商观察网,https://www.ecobservation.com,2024-10-17,,,,
