核心技术名称,所属产业类别,核心零部件,技术重要性评分,功能描述,掌握该项技术的企业,数据类型,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
自适应控制技术,自动驾驶,雷达传感器,9,提高无人驾驶车辆的反应能力和路线优化,特斯拉,字符型,技术期刊,https://www.tesla.com/blog,2024-09-22,,,,,,,,,
自然语言处理技术,客户服务,语音识别模块,7,使机器人能够理解和处理人类语言,阿里巴巴,字符型,人工智能论坛,https://www.aisolutions.com,2024-09-22,,,,,,,,,
人脸识别技术,智能安防,摄像头,10,提供高度安全的身份验证方案,商汤科技,字符型,行业论坛,https://www.sensetime.com,2024-09-22,,,,,,,,,
可穿戴机器人技术,医疗辅助,伺服驱动器,10,帮助患者步态恢复和日常活动,ReWalk Robotics,字符型,医学期刊,https://rewalk.com/,2024-09-22,,,,,,,,,
智能抓取技术,仓储物流,抓手,8,实现物品的精准抓取与搬运,蔚来,字符型,物流行业报告,https://www.nio.com/,2024-09-22,,,,,,,,,
深度学习算法,服务机器人,GPU加速卡,10,提高机器人在复杂环境中的决策能力,英伟达,字符型,科技期刊,https://www.nvidia.com,2024-09-22,,,,,,,,,
自主导航与路径规划技术,仓储物流,激光导航系统,8,确保自主车辆在复杂环境中的高效行驶,京东物流,字符型,市场研究报告,https://www.jd.com,2024-09-22,,,,,,,,,
深度学习引擎,工业自动化,GPU处理单元,9,通过深度学习优化生产流程和质量控制,英伟达,字符型,市场研究报告,https://www.nvidia.com/en-us/,2024-09-22,,,,,,,,,
深度学习算法优化,自动驾驶,GPU加速器,10,提升机器人在复杂环境中的决策能力,百度,字符型,行业专业报告,https://www.baijiahao.baidu.com/s?id=1723282445301702085,2024-09-22,,,,,,,,,
云计算集成技术,智能网联汽车,云服务器,8,为自动驾驶提供数据存储和处理能力,华为,字符型,技术前瞻报告,https://www.huawei.com,2024-09-22,,,,,,,,,
