受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1787/TJ,空间聚变反应堆设计,系统设计,空天技术,2.0,2023/11/15,宇宙能源有限公司,中国工程院,待审,110000.0,待审,未来能源科技公司,计算机模拟,宇宙能源有限公司,2023-007,空天技术,V1.2,人民日报,http://www.people.com.cn,2024-10-09,
CN10-1813/TJ,气候变化影响下的卫星监测技术,监测技术,空天技术,2.0,2023/11/1,环境监测技术公司,气候研究所,已受理,220000.0,合格,气候监测科技有限公司,数据监测,环境监测技术公司,2023-011,空天技术,V1.1,中国气象局,http://www.cma.gov.cn,2024-10-09,
CN10-1813/TJ,深空探测数据分析方法,数据分析,空天技术,1.0,2023/12/1,宇宙探索科技有限公司,科研创新中心,待审,350000.0,待审,宇宙科技公司,数据采集与处理,宇宙探索科技有限公司,2023-014,空天技术,V1.0,福建省科技厅,http://www.fujian.gov.cn/,2024-10-09,
CN10-1773/TJ,高分辨率卫星图像处理技术,数据处理,空天技术,1.0,2023/5/30,高分科技有限公司,国家遥感中心,已受理,320000.0,合格,卫星影像科技公司,数据分析,高分科技有限公司,2023-010,空天技术,V1.0,中国遥感网,http://www.radiant.cn/,2024-10-09,
CN10-1813/TJ,火星探测技术平台,研发平台,空天技术,1.0,2023/7/14,火星探索中心,宇航科技公司,正在进行,310000.0,待審,火星科技有限公司,地面模拟,火星探索中心,2023-008,空天技术,V1.0,中国科技网,https://www.cnstec.gov.cn/,2024-10-09,
CN10-1773/TJ,月球基地建设技术,建设工程,空天技术,1.0,2023/6/1,月球探索有限公司,宇宙建造公司,已受理,520000.0,合格,月球研究院,方案设计与测试,月球探索有限公司,2023-011,空天技术,V1.0,贵州省科技信息网,http://www.gz.gov.cn/research,2024-10-09,
CN10-1819/TJ,智能无人机群协同技术,系统设计,空天技术,1.0,2023/5/22,天际无人机公司,遥感科创集团,完成,500000.0,合格,天际科技股份,现场测试,天际无人机公司,2023-007,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1815/TJ,气候监测卫星数据分析技术,数据处理,空天技术,2.0,2023/8/20,气候科技中心,气象局,已受理,410000.0,合格,气候数据公司,数据分析,气候科技中心,2023-011,空天技术,V1.2,气象网站,http://www.weather.gov,2024-10-09,
CN10-1819/TJ,高级电磁波探测技术,传感技术,空天技术,1.0,2023/5/10,电磁技术研究所,无,正在进行,410000.0,待审,电磁科技有限公司,现场实验,电磁技术研究所,2023-008,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1785/TJ,新一代高性能卫星,产品开发,空天技术,2.0,2023/11/20,中国卫星公司,无,待审,310000.0,待审,卫星科技公司,原型设计,中国卫星公司,2023-014,空天技术,V1.0,中国航天科技集团,http://www.space.gov.cn/,2024-10-09,
