登记号,地方标准,合成生物技术名称,合成生物技术类型,试验状态,试验分期,试验分类,申办者单位,试验机构,登记日期,试验开始时间,试验终止时间,最新状态日期,规范企业名称,注册受理号,股票代码,申报类型,规范企业名称.1,采集来源,来源链接,采集时间,备注
2023SR0188172,DB/T7777-2023,合成代谢网络,代谢工程,已经完成,第二阶段,应用研究,西安多重合成公司,西北大学,2023-11-10,2023-12-01,2025-11-30,2024-10-12,西安多重合成公司,GHZYLZC2100008,BK1179,新技术申请,西安多重合成公司,合成生物学新闻,https://synbio.com/,2024-09-23,
2023SR0909256,DB/T8901-2023,合成生物阀门技术,生物工程,正在进行,第三阶段,产品开发,福建合成生物实验室,福州大学,2023-11-15,2023-12-01,2025-11-30,2024-10-12,福建合成生物实验室,GHZYLZC2100005,BK1174,新技术申请,福建合成生物实验室,生物工程网,https://www.bioengineering.cn,2024-09-23,
2023SR0180428,DB/T7890-2023,人造生物合成器,工程生物学,已完成,第三阶段,产品开发,武汉合成生物公司,华中科技大学,2023-06-21,2023-07-01,2025-06-30,2024-10-12,武汉合成生物公司,GHZYLZC2100002,BK1156,新技术申请,武汉合成生物公司,新时代生物技术,https://www.newbiotech.com,2024-09-23,
2023SR0201478,DB/T1314-2023,合成疫苗平台,疫苗研究,正在进行,第一阶段,临床试验,武汉生物科技股份有限公司,华中科技大学,2023-04-02,2023-05-10,2024-11-30,2024-10-12,武汉生物科技股份有限公司,GHZYLZC2100004,BK1181,新技术申请,武汉生物科技股份有限公司,人民日报,https://www.people.com.cn,2024-09-23,
2023SR0202754,DB/T1357-2023,合成疫苗技术,疫苗研发,已完成,临床试验,临床医学,广州生物医药公司,中山大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州生物医药公司,GHZYLZC2100006,BK1183,新技术申请,广州生物医药公司,广州日报,https://www.gzdaily.com/,2024-09-23,
2023SR0279142,DB/T1357-2023,合成代谢途径,代谢工程,正在进行,第一阶段,实验室研究,广州生物科技研究院,中山大学,2023-06-10,2023-07-01,2024-06-30,2024-10-12,广州生物科技研究院,GHZYLZC2100004,BK1177,新技术申请,广州生物科技研究院,生物技術网,https://www.biotech.com,2024-09-23,
2023SR0112345,DB/T7903-2023,基因组编辑技术优化,基因编辑,已完成,结束阶段,临床试验,天津基因科技股份有限公司,南开大学,2023-03-05,2023-03-20,2024-03-19,2024-10-12,天津基因科技股份有限公司,GHZYLZC2100004,BK3420,技术改进,天津基因科技股份有限公司,基因编辑周刊,https://genomeeditweek.com/,2024-09-23,
2023SR0283947,DB/T4567-2023,生物燃料合成技术,能源工程,已完成,第三阶段,产业示范,成都清洁能源公司,四川大学,2023-08-20,2023-09-01,2024-08-31,2024-10-12,成都清洁能源公司,GHZYLZC2100008,ZK9876,新产品申请,成都清洁能源公司,可再生能源学报,https://www.renewablejournal.com,2024-09-23,
2023SR0681945,DB/T6789-2023,合成生物传感器,生物传感,已完成,第二阶段,应用研究,天津生物技术研究所,南开大学,2023-02-25,2023-03-15,2024-03-14,2024-10-12,天津生物技术研究所,GHZYLZC2100003,BK1179,新技术申请,天津生物技术研究所,传感技术杂志,https://sensorsjournal.com,2024-09-23,
2023SR0198754,DB/T2345-2023,荧光蛋白标记技术,生物标记,已完成,第三阶段,实验室研究,广州生物研究所,中山大学,2023-06-01,2023-07-15,2024-06-30,2024-10-15,广州生物研究所,GHZYLZC2100002,BK1178,技术改进申请,广州生物研究所,生命科学杂志,https://www.lifesciencejournal.com,2024-09-23,
