终端名称（字符型）,应用场景（字符型）,终端特性（字符型）,面向群体（字符型）,主流厂商（字符型）,智能终端产品形态（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
智能手机,移动办公,高性能、多功能,企业用户,华为、小米、苹果,手机,IDC报告,https://www.idc.com/getdoc.jsp?containerId=prCHC51425923,2024-10-10,
平板电脑,教育学习,轻便、触控屏幕,学生、教师,联想、华为、苹果,平板,IDC报告,https://www.idc.com/getdoc.jsp?containerId=prCHC51425923,2024-10-10,
智能家居设备,家居控制,物联网连接,家庭用户,小米、阿里巴巴,家居设备,智能终端产业发展报告(2020-2021),http://www.taf.org.cn/upload/notice/2021-0714-101437-567513174.pdf,2024-10-10,
可穿戴设备,健康监测,实时数据监测,健康意识用户,苹果、Fitbit、华为,手环、智能手表,IDC报告,https://www.idc.com/getdoc.jsp?containerId=prCHC51425923,2024-10-10,
游戏主机,娱乐,高性能图形处理,游戏爱好者,索尼、微软,游戏机,IDC报告,https://www.idc.com/getdoc.jsp?containerId=prCHC51425923,2024-10-10,
无人机,休闲娱乐、拍摄等,高清摄像、远程操控,摄影爱好者,大疆、Parrot,无人机,智能终端产业发展报告(2020-2021),http://www.taf.org.cn/upload/notice/2021-0714-101437-567513174.pdf,2024-10-10,
VR头盔,虚拟现实体验,沉浸式互动,游戏玩家、开发者,Oculus、HTC,VR设备,AIGC应用全景报告,https://www.iot101.com/mobile/news/9321.html,2024-10-10,
智能音箱,家居控制、娱乐,语音助手,家庭用户,亚马逊、小米,音箱,AIGC应用全景报告,https://www.iot101.com/mobile/news/9321.html,2024-10-10,
智能手表,健康管理,心率监测、GPS定位,运动爱好者,Garmin、华为、苹果,手表,市场研究报告(2022-2023),https://www.statista.com/topics/1550/wearable-technology/,,
智能投影仪,家庭影院,便携、投影清晰,家庭用户、视频爱好者,罗技、极米、昂达,投影仪,行业分析报告(2023年),https://www.marketwatch.com/,,
智能耳机,音乐欣赏、通话,降噪、蓝牙连接,音乐爱好者、通勤者,索尼、苹果、BOSE,耳机,科技与电子产品市场报告(2022),https://www.canalys.com/,,
智能健身器材,家庭健身,互动课程、数据追踪,健身爱好者,Peloton、NordicTrack,训练设备,运动科技研究报告(2023),https://www.clubindustry.com/,,
智能车载系统,车载娱乐与导航,语音助手、实时导航,驾驶者,特斯拉、丰田、福特,车载系统,汽车行业分析报告(2023),https://www.jdpower.com/,,
AR眼镜,增强现实体验,实时信息显示,技术爱好者、开发者,微软、谷歌、Magic Leap,眼镜,增强现实市场报告(2022),https://www.businesswire.com/,,
智能电热水壶,快速烹饪,温控、智能连接,家庭用户,美的、九阳、苏泊尔,家居电器,家电市场分析报告(2023),https://www.appliance.com/,,
智能门锁,家居安全,远程控制、指纹识别,家庭用户、租房者,米家、August、August,安防产品,安全技术研究报告(2022),https://www.securityinfowatch.com/,,
智能穿戴健康贴,实时健康监测,轻便、数据分析,老年用户、慢性病患者,南方医疗、华大基因,健康监控,医疗科技市场报告(2023),https://www.healthcareitnews.com/,,
智能家居中枢控制器,智能家居管理,多设备连接、智能控制,技术爱好者、家庭用户,亚马逊Echo、Google Nest,控制器,智能家居市场概览(2022),https://www.gartner.com/,,
电子书阅读器,阅读、学习,纸质阅读体验、可存储数千本书,书籍爱好者、学生,亚马逊、巴诺书店,阅读器,电子书市场研究报告(2022),https://www.amazon.com/,,
智能手表,健康监测、信息提醒,GPS、心率监测,运动爱好者、人群用户,苹果、三星,手表,智能穿戴设备发展报告(2023),https://www.gartner.com/,,
智能投影仪,家庭影院、商务演示,便携、高清显示,电影爱好者、企业用户,爱普生、索尼,投影仪,家用电器消费趋势分析(2023),https://www.epson.com/,,
手势识别设备,智能家居控制、游戏,非接触操作、先进传感技术,科技爱好者、游戏玩家,Leap Motion、Microsoft,控制器,新兴技术趋势报告(2023),https://www.microsoft.com/,,
智能健身设备,定制化健身、健康监测,个性化数据分析、互动体验,健身爱好者、家庭用户,Peloton、Zwift,健身器材,健康科技产业报告(2023),https://www.peloton.com/,,
智能家居安防系统,家庭安全监控,实时警报、远程监控,家庭用户、物业管理,Ring、Arlo,安防设备,智能家居市场分析报告(2023),https://www.ring.com/,,
智能眼镜,增强现实、实景导航,AR显示、语音控制,科技用户、专业人士,Google、Snap,眼镜,增强现实市场趋势分析(2022-2023),https://www.google.com/,,
汽车信息娱乐系统,智能驾驶、方向导航,大屏幕、在线服务,车主、公共交通用户,特斯拉、苹果,车载系统,智能交通行业报告(2023),https://www.tesla.com/,,
移动支付终端,在线购物、实体消费,便捷支付、数据安全,消费者、小商户,支付宝、Apple Pay,支付设备,移动支付市场研究报告(2023),https://www.alipay.com/,,
智能翻译器,旅游辅助,实时翻译、多语言支持,国际旅行者,谷歌、iFlytek,翻译设备,市场调研机构报告,https://www.statista.com,,
智能眼镜,增强现实,信息叠加、AR体验,技术爱好者、开发者,谷歌、微软、华为,眼镜,电子产品市场分析,https://www.gartner.com,,
智能手表,健康管理,心率监测、GPS定位,健身爱好者,苹果、三星、Garmin,手表,市场趋势报告,https://www.statista.com,,
智能路由器,家庭网络,高速连接、网络覆盖,家庭用户、远程办公用户,TP-Link、华为、网件,路由器,市场分析报告,https://www.idc.com,,
智能健身器材,居家健身,在线课程、实时反馈,健身用户,Peloton、飞利浦,健身器材,健康科技报告,https://www.mckinsey.com,,
智能监控摄像头,家庭安全,实时监控、移动侦测,家庭用户,Nest、Arlo、小米,监控设备,安全科技趋势报告,https://www.forbes.com,,
智能投影仪,家庭影院,便携式、无线投屏,电影爱好者,明基、极米,投影设备,消费电子市场研究,https://www.ce.org,,
智能冰箱,厨房管理,智能购物、食物监控,家庭用户,三星、LG、小米,冰箱,家电市场分析,https://www.statista.com,,
智能咪播设备,音乐播放,无线连接、音质优化,音乐爱好者,Sonos、亚马逊、苹果,咪播设备,音乐市场研究,https://www.nielsen.com,,
智能家居控制中心,全屋智能控制,集中控制、自动化场景设置,家庭用户,亚马逊、谷歌、小米,控制器,智能家居市场分析,https://www.statista.com,,
智能眼镜,增强现实体验,实时信息显示、语音控制,技术爱好者、专业用户,谷歌、微软、秀尔,眼镜,科技发展趋势报告(2023),https://www.techtrendreport.com,,
智能手表,日常健康监测,心率监测、GPS导航,运动爱好者、健康关注者,苹果、三星、Garmin,手表,Wearables Market Report 2023,https://www.wearablesmarket.com,,
智能投影仪,家庭影院、商业演示,便携、高亮度,家庭用户、商业用户,索尼、明基、极米,投影仪,AV Industry Report 2023,https://www.avindustry.com,,
智能行车记录仪,安全监控、行车记录,高清录像、智能识别,驾车用户,360、思维车、Terra,行车记录仪,智能交通统计报告(2023),https://www.smarttrafficreport.com,,
智能门锁,家庭安全,生物识别、远程控制,家庭用户、办公室,云丁、米家、德施曼,门锁,家居安全分析报告(2022),https://www.housingsecurity.com,,
智能空调,家居环境调节,智能温控、节能,家庭用户、办公场所,格力、美的、海尔,空调,空调市场年度报告(2023),https://www.acmarketreport.com,,
智能机器人,家务助手、家庭娱乐,AI交互、自主导航,家庭用户、技术爱好者,科沃斯、iRobot、小米,家务机器人,智能家居行业趋势报告(2023),https://www.smart-homeindustry.com,,
智能健身器材,自宅运动,数据追踪、联网功能,健身爱好者,Peloton、Nike、Fitbit,运动器械,健身科技发展蓝皮书(2023),https://www.fitness-techreport.com,,
智能耳机,音乐娱乐、通话,降噪、无缝连接,音乐爱好者、通勤用户,Sony、BOSE、苹果,耳机,音频设备市场报告(2023),https://www.audioequipmentreport.com,,
智能服务器,企业数据管理,高效能、云计算,企业用户、大数据分析师,华为、戴尔、HPE,服务器,企业IT蓝皮书(2023),https://www.enterpriseitreport.com,,
智能投影仪,家庭影院,高清显示、便携式设计,家庭娱乐用户,小米、索尼,投影设备,消费电子市场分析报告,https://www.consumerreports.org,,
智能手表,健康跟踪,心率监测、GPS导航,健身爱好者、运动员,苹果、三星、Garmin,手表,智能硬件发展报告(2022),https://www.smart-hardware.com,,
智能冰箱,厨房管理,物联网连接、智能食材管理,家庭用户,海尔、LG,冰箱,家电市场观察,https://www.appliances.com,,
智能耳机,移动音频,降噪、无线连接,音乐爱好者,Sony、Bose、苹果,耳机,音频设备市场报告(2023),https://www.audioindustry.com,,
智能显示器,会议、协作,触控屏、自定义应用,商业用户,Dell、华为,显示器,产品与技术评测,https://www.techreview.com,,
智能机器人,家居协助,自动化工作、多功能,家庭、老人,iRobot、Neato,机器人,机器人智能市场分析,https://www.robotics.com,,
智能安全摄像头,家居安全,实时监控、夜视能力,家庭用户、小企业,Ring、Nest,摄像头,家居安全行业分析报告,https://www.homesecurity.com,,
智能健康设备,个体健康监测,多种健康指标测量,中老年用户,Withings、Fitbit,健康监测设备,健康科技发展趋势报告,https://www.healthtech.com,,
智能车载系统,汽车导航与娱乐,语音识别、实时路况,驾车用户,特斯拉、丰田、百度,车载终端,车载系统市场研究报告,https://www.carsystem.com,,
智能农具,农业生产,数据分析、精准农业,农场主、农业合作社,John Deere、华农,农业设备,农艺科技发展趋势,https://www.agtech.com,,
