视频分辨率（字符型）,图像传感器数目（数值型）,单位,视频采集接口及速率（字符型）,本地缓存容量（字符型）,本地显示分辨率（字符型）,最大传输带宽（字符型）,远程显示分辨率（数值型）,单位.1,传输距离（数值型）,单位.2,系统总延时（数值型）,单位.3,系统调试接口（字符型）,设备供电电压（字符型）,功耗（字符型）,单位.4,采集来源,来源链接,采集时间,备注【疑问汇总】
7680x4320,3,个,"USB-C, HDMI, SDI, >40Gbps",16GB,8K,40Gbps,2160,P,100,米,50,毫秒,USB、RS232等,AC220V,200,W,CSDN,https://blog.csdn.net/feng8403000/article/details/130664096,2024-10-10,
3840x2160,2,个,"HDMI, SDI, >20Gbps",8GB,4K,20Gbps,1080,P,50,米,30,毫秒,USB、RS232等,AC110V,100,W,阿里云开发者社区,https://developer.aliyun.com/article/467436,2024-10-11,
1920x1080,1,个,"HDMI, VGA, >10Gbps",4GB,1080P,10Gbps,720,P,30,米,20,毫秒,USB,AC110V,50,W,行业报告,https://www.informat.cn/qa/59479,2024-10-12,
1280x720,1,个,"USB, HDMI",2GB,720P,5Gbps,480,P,20,米,15,毫秒,RS232,AC5V,20,W,腾讯云,https://cloud.tencent.com,2024-10-13,
7680x4320,4,个,"HDMI, SDI, USB-C, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,40,毫秒,USB、RS232、Ethernet,AC220V,300,W,IT之家,https://www.ithome.com,,
3840x2160,3,个,"HDMI, DisplayPort, >30Gbps",16GB,4K,30Gbps,1440,P,70,米,25,毫秒,USB-C、RS232,AC120V,150,W,VFX社区,https://www.vfxcommunity.com,,
1920x1080,2,个,"HDMI, USB, >15Gbps",8GB,1080P,15Gbps,1080,P,35,米,18,毫秒,USB、RS485,AC110V,75,W,数字音频在线,https://www.digitalaudioonline.com,,
2560x1440,2,个,"HDMI, DisplayPort, >20Gbps",12GB,2K,20Gbps,1440,P,60,米,22,毫秒,USB-C、HDMI,AC220V,120,W,AVS论坛,https://www.avsforum.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",4GB,720P,5Gbps,480,P,15,米,12,毫秒,USB,AC5V,25,W,优酷,https://www.youku.com,,
3840x2160,1,个,"HDMI, Ethernet, >25Gbps",8GB,4K,25Gbps,2160,P,100,米,32,毫秒,Ethernet、RS232,AC110V,90,W,数码产品评论,https://www.digitalproductreview.com,,
1920x1080,1,个,"HDMI, VGA, >10Gbps",4GB,1080P,10Gbps,720,P,30,米,20,毫秒,USB,AC220V,50,W,科技日报,https://www.stdaily.com,,
2560x1600,2,个,"DisplayPort, HDMI, >20Gbps",16GB,2.5K,20Gbps,1600,P,80,米,15,毫秒,HDMI、USB-C,AC220V,160,W,未来科技,https://www.futuretech.com,,
5120x2880,2,个,"USB-C, HDMI, >35Gbps",64GB,5K,35Gbps,2880,P,120,米,28,毫秒,USB-C、RS232、SDI,AC220V,250,W,科技先锋,https://www.techpioneer.com,,
7680x4320,4,个,"HDMI, DisplayPort, >60Gbps",32GB,8K,60Gbps,4320,P,150,米,40,毫秒,"USB-C, RS232",AC220V,250,W,优酷技术博客,https://blog.youku.com,,
3840x2160,3,个,"HDMI, USB-C, >30Gbps",16GB,4K,30Gbps,1440,P,75,米,25,毫秒,"USB, HDMI",AC110V,120,W,知乎,https://www.zhihu.com,,
1920x1080,2,个,"HDMI, SDI, >15Gbps",8GB,1080P,15Gbps,1080,P,40,米,22,毫秒,USB,AC220V,75,W,IT之家,https://www.ithome.com,,
2560x1440,2,个,"USB, HDMI, >25Gbps",12GB,2K,25Gbps,1440,P,100,米,18,毫秒,USB-C,AC220V,150,W,数据报告网,https://www.datareport.cn,,
1280x720,1,个,"HDMI, VGA, >8Gbps",4GB,720P,8Gbps,480,P,30,米,20,毫秒,RS232,AC5V,20,W,果壳网,https://www.guokr.com,,
4096x2160,5,个,"HDMI, SDI, >50Gbps",64GB,4K,50Gbps,2160,P,120,米,35,毫秒,"USB-C, HDMI",AC240V,300,W,雷锋网,https://www.leiphone.com,,
2560x1080,1,个,"HDMI, USB, >12Gbps",8GB,UltraWide,12Gbps,1080,P,45,米,15,毫秒,"VGA, HDMI",AC110V,60,W,AV资源网,https://www.avloud.com,,
3200x1800,3,个,"USB-C, HDMI, >20Gbps",16GB,QHD,20Gbps,1800,P,90,米,28,毫秒,"USB, RS232",AC220V,110,W,CNET,https://www.cnet.com,,
3840x1600,2,个,"DisplayPort, HDMI, >15Gbps",8GB,WQHD,15Gbps,1600,P,70,米,32,毫秒,"USB-C, RS232",AC110V,85,W,PConline,https://www.pconline.com.cn,,
7680x4320,4,个,"HDMI, DisplayPort, >50Gbps",32GB,8K,50Gbps,4320,P,150,米,45,毫秒,"USB-C, RS232",AC230V,300,W,TechRadar,https://www.techradar.com,,
3840x2160,3,个,"USB-C, HDMI, >30Gbps",16GB,4K,30Gbps,2160,P,80,米,35,毫秒,"USB, RS422",AC115V,120,W,HDMI.org,https://www.hdmi.org,,
2560x1440,2,个,"HDMI, SDI, >10Gbps",8GB,1440P,10Gbps,1440,P,60,米,25,毫秒,"HDMI, USB",AC120V,70,W,AVS Forum,https://www.avsforum.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",4GB,720P,5Gbps,480,P,30,米,18,毫秒,"USB, RS232",AC12V,25,W,CIO Review,https://www.cioreview.com,,
5120x2880,2,个,"HDMI, Thunderbolt, >40Gbps",16GB,5K,40Gbps,2880,P,100,米,55,毫秒,"USB-C, RS232",AC220V,250,W,PCMag,https://www.pcmag.com,,
3840x2160,4,个,"HDMI, SDI, >25Gbps",12GB,4K Ultra HD,25Gbps,2160,P,120,米,40,毫秒,"USB, RS232, Ethernet",AC110V,150,W,Broadband World Forum,https://www.broadbandworldforum.com,,
1920x1080,2,个,"HDMI, VGA, >15Gbps",6GB,1080P,15Gbps,720,P,40,米,20,毫秒,"USB, RS232",AC120V,55,W,Camcorderinfo,https://www.camcorderinfo.com,,
2560x1440,1,个,"HDMI, USB, >12Gbps",8GB,1440P,12Gbps,1440,P,50,米,22,毫秒,USB-C,AC220V,65,W,VideoMaker,https://www.videomaker.com,,
3840x2160,5,个,"HDMI, Thunderbolt, >45Gbps",64GB,4K,45Gbps,2160,P,200,米,30,毫秒,"USB-C, RS422",AC250V,400,W,Review Geek,https://www.reviewgeek.com,,
7680x4320,4,个,"Thunderbolt 4, HDMI, SDI, >50Gbps",32GB,8K,50Gbps,2160,P,150,米,40,毫秒,"USB-C, RS232",AC220V,250,W,国际电子技术协会,https://www.itea.org,,
3840x2160,2,个,"HDMI 2.1, SDI, >20Gbps",16GB,4K,20Gbps,1440,P,80,米,35,毫秒,"USB, Ethernet",AC110V,150,W,技术前沿,https://www.techfrontier.org,,
5120x2880,3,个,"USB-C, HDMI, >30Gbps",24GB,5K,30Gbps,1080,P,70,米,25,毫秒,"RS232, USB",DC12V,120,W,科技日报,https://www.stdaily.com,,
2560x1440,1,个,"HDMI, VGA, >10Gbps",8GB,1440P,10Gbps,720,P,60,米,18,毫秒,USB,AC120V,70,W,智能科技杂志,https://www.smarttechmag.com,,
1980x1080,1,个,"HDMI, DisplayPort, >8Gbps",4GB,1080P,8Gbps,480,P,30,米,15,毫秒,USB 3.0,AC220V,40,W,电子技术应用,https://www.electronica.com,,
1280x720,2,个,"USB, HDMI, >5Gbps",2GB,720P,5Gbps,480,P,20,米,12,毫秒,"RS232, USB 2.0",AC5V,15,W,现代数字通讯,https://www.digitalcom.com,,
640x480,1,个,"USB, Ethernet, >2Gbps",1GB,480P,2Gbps,360,P,10,米,10,毫秒,USB 2.0,AC12V,10,W,视频架构论坛,https://www.videoforum.com,,
3840x1600,2,个,"DisplayPort, HDMI, >22Gbps",16GB,WQHD,22Gbps,1440,P,100,米,20,毫秒,"USB-C, Ethernet",AC230V,180,W,视觉与技术,https://www.visiontech.com,,
