智能机器人名称,工作前状态,所需条件,工作后状态,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
家庭服务机器人,待命,充电完成,工作完成,中国机器人网,https://www.robot-china.com/news/201405/30/10787.html,2024-09-24,,,,,,,,,,,,,
家庭服务机器人,待命,充电完成,工作完成,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-24,,,,,,,,,,,,,
工业搬运机器人,空闲,任务指令已接收,任务完成,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-24,,,,,,,,,,,,,
医疗辅助机器人,准备就绪,手术器械已准备好,手术完成,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-24,,,,,,,,,,,,,
教育机器人,待机,学习材料已加载,学习完成,教育部,https://www.moe.gov.cn,2024-09-24,,,,,,,,,,,,,
农业作业机器人,准备工作,土壤湿度适宜,作业完成,农业农村部,https://www.moa.gov.cn,2024-09-24,,,,,,,,,,,,,
特种救援机器人,待命,救援设备已检查,救援完成,国家应急管理部,https://www.mem.gov.cn,2024-09-24,,,,,,,,,,,,,
物流配送机器人,待命,订单已确认,配送完成,快递行业协会,https://www.cainiao.com/,2024-09-24,,,,,,,,,,,,,
智能清洁机器人,待机,清洁区域已确定,清洁完成,中国人工智能产业发展报告,https://www.ai-china.com/,2024-09-24,,,,,,,,,,,,,
娱乐陪伴机器人,待命,用户激活指令,陪伴完成,科技日报,https://www.stdaily.com/,2024-09-24,,,,,,,,,,,,,
安防巡逻机器人,待命,电量充足,巡逻完成,国家安全部,https://www.mps.gov.cn/,2024-09-24,,,,,,,,,,,,,
建筑施工机器人,准备就绪,施工材料已到位,施工完成,中国建筑工程总公司,https://www.cscec.com/,2024-09-24,,,,,,,,,,,,,
智能健康监测机器人,待命,病人信息已录入,监测完成,中国医院协会,http://www.cha.org.cn/,2024-09-24,,,,,,,,,,,,,
家庭安全监控机器人,待机,家庭网络连接正常,监控完成,智能家居发展联盟,http://www.smart-home.net/,2024-09-24,,,,,,,,,,,,,
环境监测机器人,启动中,检测标准已设置,数据采集完成,中国环境监测总站,http://www.cnemc.cn/,2024-09-24,,,,,,,,,,,,,
语言翻译机器人,待命,语言设置已完成,翻译完成,国际翻译协会,https://www.iapti.org/,2024-09-24,,,,,,,,,,,,,
无人配送机器人,待命,配送路径已规划,配送完成,无人驾驶协会,http://www.udri.org/,2024-09-24,,,,,,,,,,,,,
仓储管理机器人,待命,货物已入库确认,入库完成,中国物流与采购联合会,http://www.clc.org.cn,2024-09-24,,,,,,,,,,,,,
智能清洁机器人,空闲,清洁区域已指定,清洁完成,清洁行业科技杂志,http://www.cleanmagazine.cn,2024-09-24,,,,,,,,,,,,,
自主配送机器人,准备出发,路径已规划,配送完成,全国配送协会,http://www.delivery.org.cn,2024-09-24,,,,,,,,,,,,,
酒店服务机器人,待命,客户需求已接收,服务完成,酒店行业协会,http://www.hotel.org.cn,2024-09-24,,,,,,,,,,,,,
施工安全监控机器人,巡逻中,施工现场开放,监控完成,建筑安全管理委员会,http://www.safeconstruction.cn,2024-09-24,,,,,,,,,,,,,
居家陪护机器人,待机,用户需求匹配,陪护任务完成,养老服务研究中心,http://www.eldercare.cn,2024-09-24,,,,,,,,,,,,,
城市环卫机器人,待命,垃圾收集任务已分配,垃圾清理完成,城市管理局,http://www.urbanmanagement.gov.cn,2024-09-24,,,,,,,,,,,,,
