层级（字符型）,关键作用（字符型）,涉及学科（字符型）,涉及工艺（字符型）,应用领域（字符型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
感知层,数据采集与环境监测,传感器技术、通信等,传感器、RFID、IoT设备等,智能家居、工业监控等,华为投资控股有限公司,华为技术有限公司,普通用户,PingCode,https://docs.pingcode.com/ask/66028.html,2024-10-10,
网络层,数据传输与通信管理,网络通信、计算机等,Wi-Fi、蓝牙、Zigbee等,智能交通、公共安全等,中兴通讯股份有限公司,中兴通讯股份有限公司,企业用户,百度云,https://cloud.baidu.com/article/3061656,2024-10-10,
数据层,数据处理与分析,大数据、人工智能等,云计算、数据分析等,智能农业、远程医疗等,阿里巴巴集团控股有限公司,阿里云计算有限公司,企业用户,搜狐,https://www.sohu.com/a/742370721_120159670,2024-10-10,
应用层,提供具体业务应用,软件工程、系统集成等,移动应用开发,智能家居、工业物联网等,腾讯控股有限公司,腾讯控股有限公司,普通用户,CSDN,https://blog.csdn.net/weixin_43025343/article/details/134638552,2024-10-10,
感知层,数据采集与环境监测,传感器技术、通信等,传感器、RFID、IoT设备等,智能家居、工业监控等,华为,华为技术有限公司,普通用户,知识产权局,https://www.cnipa.gov.cn/,2024-10-10,
网络层,数据传输与通信管理,网络通信、计算机等,Wi-Fi、蓝牙、Zigbee等,智能交通、公共安全等,中兴通讯,中兴通讯股份有限公司,企业用户,中国通信学会,https://www.cac.gov.cn/,2024-10-10,
数据层,数据处理与分析,大数据、人工智能等,云计算、数据分析等,智能农业、远程医疗等,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,阿里巴巴研究院,https://www.alibabagroup.com/,2024-10-10,
应用层,提供具体业务应用,软件工程、系统集成等,移动应用开发,智能家居、工业物联网等,腾讯,腾讯控股有限公司,普通用户,腾讯云,https://cloud.tencent.com/,2024-10-10,
控制层,网络资源管理与优化,控制理论、网络管理等,网络优化算法,数据中心管理,华为,华为技术有限公司,企业用户,IEEE,https://www.ieee.org/,2024-10-10,
安全层,确保数据传输安全性,网络安全,加密技术,金融服务、电子商务等,中兴通讯,中兴通讯股份有限公司,普通用户,国家网络安全局,https://www.nca.gov.cn/,2024-10-10,
感知层,环境数据采集与智能反馈,物理学、传感器技术,智能传感器、环境监测设备,智慧城市、生态保护,京东方科技集团股份有限公司,京东方科技集团股份有限公司,政府与研究机构,新华网,https://www.xinhuanet.com/,,
网络层,大规模数据传输与连接管理,计算机科学、网络工程,5G通信、边缘计算,智能工业、远程监控,中国移动通信集团公司,中国移动通信集团公司,企业与行业用户,中国信息通信研究院,https://www.ccidgroup.com/,,
数据层,实时数据处理与智能决策,数据科学、人工智能,深度学习、大数据分析,智能制造、智能交通,百度公司,百度在线网络技术（北京）有限公司,企业及各类分析企业,商业周刊,https://www.businessweek.com/,,
应用层,多样化商业应用开发与解决方案,软件开发、系统架构,云应用开发、DevOps,智慧医疗、智能家居,美团点评,美团大数据科技有限公司,普通用户与中小企业,丁香园,https://www.dxy.cn/,,
控制层,资源优化与智能控制,系统工程、控制科学,自动化控制技术,能源管理、智能电网,国网公司,国家电网公司,企业用户与政府机构,国网能源研究院,https://www.sgcc.com.cn/,,
安全层,保障数据与网络安全,信息安全、密码学,网络防火墙、入侵检测,金融服务、电子支付,深信服科技股份有限公司,深信服科技股份有限公司,金融机构与企业用户,安全牛,https://www.aqniu.com/,,
边缘层,降低延迟与提升处理能力,边缘计算、通信工程,边缘智能设备、微处理器,智能交通、无人驾驶,小米科技有限责任公司,小米科技有限责任公司,普通用户与技术开发者,科技日报,https://www.stdaily.com/,,
应用层,为行业提供定制化解决方案,信息与计算科学、交互设计,应用程序开发、UI/UX设计,教育科技、在线学习,好未来教育集团,好未来教育科技有限公司,学生与教育工作者,网易教育,https://edu.163.com/,,
感知层,精准数据采集与实时变更识别,生物工程、环境科学,生物传感器、环境监测网络,智慧农业、自然保护,盛运环保股份有限公司,盛运环保科技有限公司,农业企业与研究机构,农业农村部,http://www.moa.gov.cn/,,
数据层,智能化分析与可视化展示,统计学、计算机视觉,数据挖掘、可视化工具,市场调研、消费者行为分析,京东数字科技控股集团,京东数科,企业与市场调查机构,财经网,https://www.caijing.com.cn/,,
感知层,环境数据采集与实时监控,传感器技术、环境科学等,智能传感器、环境监测设备等,生态保护、智慧城市等,松下电器产业株式会社,松下电器,政府部门,EcoWatch,https://www.ecowatch.com/,,
网络层,优先级数据传输与网络质量管理,网络科学、信号处理等,5G、边缘计算等,增强现实、工业4.0等,爱立信,爱立信公司,企业用户,The Verge,https://www.theverge.com/,,
数据层,大规模数据集的存储与分析,数据科学、机器学习等,数据湖、分布式存储等,金融科技、供应链管理等,微软,微软公司,金融企业,ZDNet,https://www.zdnet.com/,,
应用层,智联网应用开发与优化,软件工程、用户体验设计等,云服务、微服务架构等,智能零售、智慧医疗等,Salesforce,"Salesforce.com, Inc.",企业用户,TechCrunch,https://techcrunch.com/,,
控制层,自动化设备调度与优化,控制科学、自动化等,工业物联网平台,制造业、物流管理等,ABB集团,ABB Ltd.,制造企业,Industry Week,https://www.industryweek.com/,,
安全层,数据安全与隐私保护,网络安全、法律等,区块链技术、入侵检测系统等,医疗健康、安全监控等,IBM,IBM公司,普通用户,CISO Magazine,https://www.cisomag.com/,,
感知层,温湿度与气体数据实时监测,环境科学、传感器技术等,多功能传感器、物联网终端等,农业管理、气候研究等,Trimble Inc.,Trimble,农民与研究机构,AgFunder Network Partners,https://agfunder.com/,,
网络层,高效路由与传输技术支持,计算机网络、通信工程等,光纤通信、网络拓扑优化等,数据中心、物联网通信等,思科系统公司,"Cisco Systems, Inc.",数据中心运营商,Network World,https://www.networkworld.com/,,
数据层,实时数据处理与合规性分析,信息技术、法律法规等,数据治理、实时分析平台等,金融合规、风险管理等,Palantir Technologies,Palantir Technologies Inc.,金融机构,Forbes,https://www.forbes.com/,,
应用层,智能应用系统集成与用户体验优化,交互设计、耐用消费品等,UI/UX设计、移动开发等,智能家庭、可穿戴设备等,谷歌,谷歌母公司Alphabet Inc.,普通消费者,Wired,https://www.wired.com/,,
感知层,智能监控与环境感知,自适应传感器、物联网技术,高精度传感器、物联网设备,城市智能管理、环境监测,京东集团,京东科技有限公司,智慧城市管理者,经济日报,https://www.ce.cn/,,
网络层,边缘计算与数据处理接口,计算机网路、数据处理,蜂窝网络、边缘计算,智能医疗、自动驾驶,高通公司,高通科技有限公司,医疗机构、汽车制造商,中国移动,https://www.chinamobileltd.com/,,
