MRS类型（字符型）,基本生产特征（字符型）,产品特征（字符型）,排产方式（字符型）,生产方式（字符型）,生产计划（字符型）,生产设备（字符型）,生产过程（字符型）,典型行业（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
流程型,连续生产，自动化程度高,大批量、标准化产品,按订单排产,流程制造,周计划,自动化生产线,实时监控，数据采集,化工、食品,行业报告,https://www.example.com/mes-report1,2024-10-11,
离散型,小批量、多品种生产,定制化产品,按需求排产,离散制造,日计划,数控机床,工序管理，工单追踪,机械制造、电气,行业协会,https://www.example.com/mes-report2,2024-10-11,
混合型,结合流程与离散生产,半成品与成品并存,灵活排产,混合制造,月计划,多功能设备,多工序协同，资源调配,汽车、电子,专业杂志,https://www.example.com/mes-report3,2024-10-11,
单件生产,个性化定制，低批量,高附加值产品,按项目排产,单件制造,项目计划,专用设备,项目管理，质量控制,航空航天、医疗,学术论文,https://www.example.com/mes-report4,2024-10-11,
大批量生产,高效率，低成本,标准化产品,周期性排产,大规模制造,年计划,自动化流水线,流程优化，效率提升,服装、日用品,企业官网,https://www.example.com/mes-report5,2024-10-11,
小批量灵活生产,快速响应市场变化,多样化产品,按市场需求排产,灵活制造,随需随产,模块化设备,实时调整，快速切换,消费电子、家具,行业分析,https://www.example.com/mes-report6,2024-10-11,
流程型,高自动化，连续流转,化工原料、大宗产品,按合同排产,流程制造,季计划,大型反应器,全程监控，数据分析,化工、能源,行业期刊,https://www.chemicalindustry.com,,
离散型,多品种、小批量生产,定制零件,实时需求排产,离散制造,周计划,激光切割机,工单管理，订单追踪,机械、航空,市场研究报告,https://www.marketresearch.com,,
混合型,处理复杂订单,多样化和标准化产品结合,灵活调整排产,混合制造,月计划,多功能加工中心,实时协同，资源优化,电子、医疗,行业协会,https://www.industryassociation.org,,
单件生产,高附加值，专属定制,高端工艺品,项目导向排产,单件制造,客户需求计划,精密设备,品质管控，个性化制造,奢侈品、艺术,行业媒体,https://www.artindustrynews.com,,
