品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
耐克,Dri-FIT、Nike Flex,高,吸湿排汗、弹性好、透气性强,运动T恤、紧身衣、运动裤,公司官网,https://www.nike.com.cn/,2024-09-19,,,,,,,,,,,,
Oiselle,Luxe Diesel、Nesteon,高,透气、回弹性强、舒适,休闲鞋、帆布鞋,公司官网,https://www.converse.com.cn/,2024-09-19,,,,,,,,,,,,
Oiselle,Lux Stretch、Flyout,高,超快干燥、舒适保暖、防风,跑步服、冲锋衣,公司官网,http://www.xtep.com/,2024-09-19,,,,,,,,,,,,
阿迪达斯,Parley海洋塑料、Boost,高,可再生材料、舒适合脚,休闲鞋、运动鞋,公司官网,https://www.daphne.cn/,2024-09-19,,,,,,,,,,,,
安踏,双层网眼、超轻 EVA,高,减震、轻便、透气,跑步鞋、徒步鞋,科技新品发布会,https://www.asics.com.cn/,2024-09-19,,,,,,,,,,,,
361度,QuickDry、UltraLight,中,亲肤、快速干燥、适合初学者,运动服、健身器材,公司官网,https://www.decathlon.cn/,2024-09-19,,,,,,,,,,,,
PUMA,CELL科技,高,极致舒适、轻量设计、反弹性好,跑步鞋、户外鞋,用户体验调查,https://www.on-running.cn/,2024-09-19,,,,,,,,,,,,
Etnies,Recycled Rubber,中,色彩鲜明、耐用、易清洗,休闲运动服、时尚卫衣,公司官网,https://store.lining.com/,2024-09-19,,,,,,,,,,,,
阿迪达斯,CLOUDFOAM,高,超轻、速干、适合运动,瑜伽服、运动短裤,公司官网,https://www.lululemon.com/,2024-09-19,,,,,,,,,,,,
Lululemon,Warpstreme、Everlux,中,环保、舒适、适合日常穿着,运动服、休闲服,公司官网,https://www.hm.com.cn/,2024-09-19,,,,,,,,,,,,
