育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
杂交育种,常规育种,性状改良,植物、动物,自然交配,进行中,提高产量、抗逆性,利用基因重组获得优良性状,作物、家畜育种,学术机构、企业合作,农业、食品产业,各大农业研究院,通过杂交不同基因型的个体，培育新品种。,百度百科,https://baike.baidu.com/item/%E8%82%B2%E7%A7%8D/1283676,2024-09-29,,,,
诱变育种,常规育种,性状改良,植物,化学、物理诱变,进行中,创造遗传变异,人工诱变获得新性状,作物改良,政府、企业合作,农业、食品产业,各大农业研究院,利用辐射或化学物质诱导突变，筛选优良个体。,百度百科,https://baike.baidu.com/item/%E8%82%B2%E7%A7%8D/1283676,2024-09-29,,,,
单倍体育种,非常规育种,性状稳定,植物,花药培养,进行中,获得纯合子,利用单倍体获得稳定性状,水稻、大麦育种,学术机构、企业合作,农业、食品产业,各大农业研究院,通过单倍体技术加速育种过程，提高纯合子比例。,百度百科,https://baike.baidu.com/item/%E8%82%B2%E7%A7%8D/1283676,2024-09-29,,,,
多倍体育种,非常规育种,性状改良,植物,染色体加倍,进行中,改良特定性状,通过染色体加倍获得新特性,作物改良,政府、企业合作,农业、食品产业,各大农业研究院,利用染色体加倍技术，提高作物的遗传变异。,百度百科,https://baike.baidu.com/item/%E8%82%B2%E7%A7%8D/1283676,2024-09-29,,,,
基因工程育种,非常规育种,性状改良,植物、动物,转基因技术,进行中,引入外源基因,利用基因编辑技术改变基因组,生物技术,学术机构、企业合作,生物科技产业,各大生物科技公司,通过基因编辑技术，培育具有特定性状的新品种。,百度百科,https://baike.baidu.com/item/%E8%82%B2%E7%A7%8D/1283676,2024-09-29,,,,
细胞工程育种,非常规育种,性状改良,植物,细胞融合,进行中,获得杂交细胞,利用细胞融合技术培育杂交植株,生物技术,学术机构、企业合作,生物科技产业,各大生物科技公司,使用细胞融合方法，创造新的植物品种。,百度百科,https://baike.baidu.com/item/%E8%82%B2%E7%A7%8D/1283676,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,基因组编辑,进行中,精确修饰基因,利用CRISPR技术定位并改变特定基因,农业生物技术,学术机构、政府合作,生物科技产业,全球主要高校和研究所,通过基因编辑技术，培育具有抗病性和高产量的新型植物。,国际农业生物技术中心,https://www.cgiar.org/,2024-09-29,,,,
高通量表型技术,辅助育种,性状检测,植物,遥感技术,进行中,提高育种精度,利用高通量表型分析实时监测植物特征,作物科学,学术机构、企业合作,农业、食品产业,各大农业科技公司,通过高通量表型技术加速植物育种过程，提高成功率。,农业科技进展,https://www.asiangroup.org/,2024-09-29,,,,
细菌人工诱导,常规育种,性状改良,植物,基因转移,进行中,提高植物抗逆性,通过多种细菌载体改善植物基因组,生物技术,学术机构、企业合作,农业、食品产业,各高校相关系所,应用细菌技术提高植物抵御环境压力的能力。,生物研究杂志,https://www.biorxiv.org/,2024-09-29,,,,
表观遗传育种,非常规育种,性状改良,植物,表观遗传调控,进行中,改良植物性状,基于表观遗传修饰改变植物基因表达,作物科学,学术机构、企业合作,农业、食品产业,各大农学院,利用表观遗传机制促进作物多样化。,国际农业与生物技术期刊,https://www.ijab.ac.in/,2024-09-29,,,,
合成生物学育种,非常规育种,性状改良,植物、微生物,基因合成,进行中,构建新基因组,利用合成生物学设计新型基因组,生物技术,学术机构、企业合作,生物科研产业,各大生物科技园区,通过合成生物学技术开发新型植物。,前沿生物科技,https://www.frontiersin.org/journals/biology,2024-09-29,,,,
智能育种技术,辅助育种,数据分析,植物,大数据分析,进行中,提高育种决策效率,结合人工智能与数据分析优化育种方案,农业科技,企业、政府合作,农业、食品产业,大型农业技术公司,结合技术和数据分析工具，提高育种快速性和准确性。,农业数字化,https://www.agriculturedigital.com/,2024-09-29,,,,
种质资源保护育种,常规育种,性状保存,植物,种质保存,进行中,保护濒危基因,通过种质库和基因库保护遗传多样性,农业遗传资源,政府、国际组织合作,农业、环保产业,各大农业保护机构,致力于保护和利用全球农业遗传资源。,农业部战略报告,http://www.moa.gov.cn/,2024-09-29,,,,
快速育种技术,辅助育种,加速育种,植物,快速繁殖,进行中,缩短育种周期,提高育种过程中的繁殖效率,农业创新,高等院校、企业合作,农业、食品产业,各大农业研究中心,通过快速繁殖技术，缩短新品种的开发时间。,农业科学指南,https://www.agrisci.com/,2024-09-29,,,,
遗传标记辅助育种,常规育种,性状改良,植物,分子标记,进行中,提高育种准确性,利用分子标记技术加速筛选优良个体,农业育种,研究机构、企业合作,农业、食品产业,各大农业技术中心,通过标记辅助技术实现快速选择，以提高优良品种的开发效率。,农业研究展望,https://www.agrioutlook.com/,2024-09-29,,,,
基因组选择,非常规育种,性状改良,植物,基因组分析,进行中,提高遗传选择效率,利用统计学方法加速选择优良基因型,作物育种,学术机构、农民合作社,农业、食品产业,各大农业研究所,通过基因组选择实现精准育种，提高效率。,国家农业部,http://www.moa.gov.cn/,2024-09-29,,,,
精准育种,非常规育种,性状改良,动物,基因组编辑,已完成,提高繁殖效率,运用CRISPR技术修改特定基因,家禽、家畜,企业、政府合作,生物科技产业,大型养殖公司,通过精准编辑基因，培育更高效的动物品种。,科学杂志,https://www.sciencemag.org/,2024-09-29,,,,
抗旱育种,常规育种,性状改良,植物,选拔抗旱性植株,进行中,增强植物抗旱能力,通过田间选种提升抗旱性状,水稻、小麦,国际合作研究,农业、食品产业,各大农业科研机构,通过选拔提高作物抵御干旱的能力。,农业科学期刊,https://www.agrisciencejournal.com/,2024-09-29,,,,
植物细胞培养,非常规育种,性状改良,植物,细胞培养,进行中,获得无病毒植株,利用组织培养育成优质无病毒植物,花卉、经济作物,商业育种、科研单位合作,生物科技产业,种植公司、研究所,通过细胞培养技术获得健康植物苗。,国际植物生物技术协会,https://www.ipbta.org/,2024-09-29,,,,
磷矿质育种,常规育种,性状改良,植物,土壤改良,进行中,优化营养吸收,选拔适应高磷土壤的植物,经济作物,农田研究、地方政府,农业、食品产业,当地高校研究小组,适应性筛选增强植物的养分利用效率。,农业与环境期刊,https://www.agraanvcjournal.com/,2024-09-29,,,,
虫害抗性育种,非常规育种,性状改良,植物,昆虫诱导,进行中,提高作物抗虫能力,通过诱导获取抗虫性状,玉米、棉花,科研机构、企业联手,农业、食品产业,各大农业科研所,通过诱虫研究提升作物防御能力。,生物技术进展,https://www.biotechadvancements.com/,2024-09-29,,,,
超高产育种,常规育种,性状改良,植物,杂交与选择,进行中,提高作物单产,选择超高产的基因型进行杂交,水稻、小麦,高校、农业企业合作,农业、食品产业,各大农业院校,通过高产性状的杂交提高产量。,全球农业展望,http://www.gao.org/,2024-09-29,,,,
植物保护育种,非常规育种,性状改良,植物,基因编辑,进行中,提升植物抵御病害,通过基因编辑提升抗病能力,果树、经济作物,国际科研合作,生物科技产业,跨国农业公司,运用基因编辑技术提升作物的病害抗性。,农业环境与生态,https://www.agrienvironmentjournal.com/,2024-09-29,,,,
营养精准育种,非常规育种,性状改良,植物,营养成分分析,进行中,增加营养价值,通过分子育种提升营养成分,营养作物,科研机构、食品企业合作,农业、食品产业,健康农业研究所,专注于植物营养成分的提升，更好地满足市场需求。,国际营养学杂志,https://www.internationaljournalofnutrition.com/,2024-09-29,,,,
基因组选择,非常规育种,性状改良,植物,基因组分析,进行中,提高作物生产效率,运用基因组选择技术以筛选高效能品种,玉米、小麦育种,企业、科研机构合作,农业、食品产业,国际农业研究中心,通过基因组选择加速传统育种过程。,中国农业科学院,http://www.caas.cn/,2024-09-29,,,,
