品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注【疑问汇总】
耐克,Flyknit、React、ZoomX,高,轻盈透气、能量回馈、高弹性,跑步鞋、篮球鞋,公司官网,https://www.nike.com.cn/,2024-10-09,
耐克,Dri-FIT面料,高,吸湿排汗、透气、适合各种运动,运动袜子,公司官网,https://www.nike.com.cn/,2024-10-09,
耐克,Dri-FIT、Nike Flex,高,吸湿排汗、弹性好、透气性强,运动T恤、紧身衣、运动裤,公司官网,https://www.nike.com.cn/,2024-10-09,
耐克,Dri-FIT面料,高,吸湿排汗、透气、适合各种运动,运动袜子,公司官网,https://www.nike.com.cn/,2024-10-09,
阿迪达斯,Primeknit、Boost、EVA,高,轻便舒适、能量反馈、减震,跑步鞋、篮球鞋,公司官网,https://www.adidas.com.cn/,2024-10-09,
阿迪达斯,Climalite、Terrex,高,吸湿排汗、快干、适合多种气候,运动T恤、运动夹克、运动裤,公司官网,https://www.adidas.com.cn/,2024-10-09,
阿迪达斯,Climacool,高,透气、轻便、防晒,运动帽子,公司官网,https://www.adidas.com.cn/,2024-10-09,
阿迪达斯,聚酯纤维、尼龙,高,防水、耐用、多隔层设计,运动背包,公司官网,https://www.adidas.com.cn/,2024-10-09,
安踏,氢科技、智能分子吸震科技、C37科技、虫洞科技,高,超轻、高耐水压、吸震、回弹,跑步鞋、综训鞋,公司官网,http://anta.cn/,2024-10-09,
安踏,A-Web、A-FlashDry,高,透气性好、吸湿排汗、快速干燥,篮球衣、跑步服、运动外套,公司官网,http://anta.cn/,2024-10-09,
安踏,涤纶、耐磨尼龙,高,轻便、耐磨、大容量,运动背包,公司官网,http://anta.cn/,2024-10-09,
安踏,透气网眼面料,高,吸湿排汗、轻便、减少摩擦,运动袜子,公司官网,http://anta.cn/,2024-10-09,
李宁,䨻科技、弜科技、Drive Foam,高,高效回弹、轻量化、减震回弹,篮球鞋、跑鞋,公司官网,https://store.lining.com/,2024-10-09,
李宁,AT Dry、Lite Motion,高,吸湿快干、轻盈、减少摩擦,乒乓球服、羽毛球服、运动T恤,公司官网,https://store.lining.com/,2024-10-09,
李宁,聚酯纤维、耐磨材质,高,舒适背负、多口袋设计,运动背包,公司官网,https://store.lining.com/,2024-10-09,
李宁,AT Dry,高,吸湿快干、轻便、防晒,运动帽子,公司官网,https://store.lining.com/,2024-10-09,
Under Armour,UA FLOW、HOVR,高,轻弹、出色抓地力、能量回馈,跑步鞋,公司官网,https://www.underarmour.cn/,2024-10-09,
Under Armour,HeatGear、ColdGear,高,温度调节、吸湿排汗、保暖,运动T恤、运动紧身衣、运动裤,公司官网,https://www.underarmour.cn/,2024-10-09,
Under Armour,涤纶、耐磨材料,高,轻便、多功能、透气,运动背包,公司官网,https://www.underarmour.cn/,2024-10-09,
Under Armour,HeatGear,高,透气、吸湿排汗、防晒,运动帽子,公司官网,https://www.underarmour.cn/,2024-10-09,
特步,聚乳酸纤维,高,生物可降解、环保、节能降耗,跑步鞋、环保风衣,公司官网,http://www.xtep.com/,2024-10-09,
特步,聚酯纤维、尼龙,高,耐磨、轻便、时尚设计,运动背包,公司官网,http://www.xtep.com/,2024-10-09,
特步,透气网眼面料,高,吸湿排汗、轻便、防晒,运动帽子,公司官网,http://www.xtep.com/,2024-10-09,
特步,Seamless、Air Control,高,无缝编织、透气、温度调节,跑步服、运动T恤、运动夹克,公司官网,http://www.xtep.com/,2024-10-09,
361度,高性能面料,高,吸湿排汗、轻盈、弹性好,跑步鞋、综训鞋,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,
361度,Quick Dry、Windproof,高,吸湿快干、防风、透气性好,跑步服、运动外套、运动裤,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,
361度,高性能尼龙、涤纶,高,耐磨、轻便、多功能口袋,运动背包,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,
361度,吸湿排汗面料,高,吸湿排汗、轻便、防晒,运动帽子,公司官网,http://www.361sport.com/index.php?m=Product&a=index&p=7,2024-10-09,
露露柠檬,Luon高弹性面料,高,吸汗性出色，柔软舒适,瑜伽裤、运动上衣,公司官网,https://www.staging.lululemon.cn/article-pinpaigushi_Fabric+Technology-95.html,2024-10-09,
