育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 17,Unnamed: 18,Unnamed: 19
基因组选择育种,非常规育种,性状预测,植物、动物,基因组数据分析,进行中,提高育种效率,通过全基因组数据进行选择育种,作物育种,企业、科研机构,农业、食品产业,各大农业大学,基于基因组选择加速优良品种的育成。,农业基因研究网络,https://www.agriculturalgenome.org,2024-09-29,,,,
全基因组关联分析育种,非常规育种,性状发现,植物、动物,数据分析与模型构建,进行中,揭示基因与性状关系,通过关联分析发掘性状相关基因,精细育种,大学与企业合作,农业、食品产业,各大育种研究中心,运用全基因组关联分析识别与性状相关的基因。,农业基因组期刊,https://www.agriculturalgenomics.com,2024-09-29,,,,
环境适应性育种,常规育种,抗逆性增强,植物、动物,野外选择,进行中,增强生物对气候变化的适应性,通过外部环境模拟提高抗逆性,可持续农业,国际合作项目,农业、食品产业,国际农研组织,通过选择适应性强的品种应对气候变化带来的挑战。,可持续农业研究,https://www.sustainableagriculturejournal.com/,2024-09-29,,,,
再生育种技术,非常规育种,性状改良,植物,组织培养,进行中,创造新植物品种,通过植物组织培养技术快速繁殖特定植物,珍稀植物保护,学术机构与环境保护组织合作,生物科技产业,各大环保组织,运用组织培养技术快速繁殖出适应性强的植物新品种。,植物保护学报,https://www.ippb.org.cn,2024-09-29,,,,
生态育种,混合育种,综合改良,植物,区系选择,进行中,提升生态适应性,选择适合环境的植物品种,大豆、玉米,地方政府、农业合作社,可持续农业,生态农业研究中心,通过生态选种和育种提高农业可持续性。,生态农业杂志,https://www.ecologicalagriculturejournal.com,2024-09-29,,,,
数量性状基因定位,非常规育种,性状预测,植物,数量性状群体分析,进行中,增强性状表现,通过基因型与表型的关联研究确定数量性状基因,植物遗传学,实验室联合研究,农业、食品产业,各大学研究机构,通过基因定位技术，提高对数量性状的理解和改良。,植物遗传与育种,https://www.agricfood.com/,2024-09-29,,,,
合成生物学育种,非传统育种,创造新型植物,植物,基因合成,进行中,研发高效能作物,通过合成生物学技术构建新表型,转基因作物,国际合作研究,生物科技产业,合成生物学实验室,利用合成生物学的原理，设计与构建新型植物品种。,科学美国人,https://www.scientificamerican.com,2024-09-29,,,,
转基因微生物育种,非常规育种,性状改良,微生物,转基因技术,完成阶段,增强代谢能力,通过基因工程改良微生物特性,生物燃料生产,研究机构，企业合作,生物科技产业,多家生物技术公司,利用转基因技术增强微生物的代谢路径。,生物技术评论,https://www.biotechreview.com,2024-09-29,,,,
分子标记辅助育种,非常规育种,性状改良,植物,分子标记分析,进行中,提升品种选择的精准度,应用分子标记加速育种过程,作物改良,学术研究与企业结合,农业、食品产业,全国农业技术推广中心,利用分子标记，选择所需性状进行迅速繁育。,农业科技研究,https://www.agriculture-research.com/,2024-09-29,,,,
基因编辑育种,非常规育种,性状优化,动物、植物,ZFN技术,进行中,优化特定性状,采用ZFN技术对特定基因进行编辑,家畜育种,政府与企业合作,生物科技产业,生物技术公司,通过基因编辑技术，优化动物和植物的特定性状。,半导体和生命科学杂志,http://www.annualreviews.org/journal/terms,2024-09-29,,,,
